G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.3970230	0.1786449	0.4436347	0.5311191	0.6299314	0.1129186	0.3962171	0.3048226	0.7994182	0.9489227
0.9519149	0.1043329	1.0505388	0.1028288	0.4391994	0.4159513	0.6669407	0.6251042	0.8334132	0.9634017
0.7955956	0.2761842	0.1931961	0.6672069	0.7921180	0.0247534	0.2969223	0.0555896	0.7606369	1.0790024
0.9355704	0.1673495	0.9699348	0.1433113	0.4746085	0.4168989	0.6475779	0.6320395	0.8222287	0.9959876
0.9436906	0.1722649	1.0169868	0.0301930	0.2337909	0.4394513	0.7139617	0.5822981	0.8088919	1.0552809
0.8532937	0.1787863	0.6814577	0.4245755	0.5359294	0.1964510	0.6706327	0.4705960	0.8126871	1.0370561
0.8093330	0.1521728	0.4071090	0.7736664	0.9655615	0.0127450	0.1975881	0.2724013	0.8350455	0.9873475
0.9232645	0.1726338	0.4094546	0.5718238	0.6788008	0.1082992	0.4097225	0.1712738	0.7861633	1.0516717
0.8839044	0.1882888	0.4116926	0.6814898	0.6175320	0.1207201	0.4096144	0.1083552	0.4777210	1.0804174
0.8667216	0.2056121	0.3936162	0.7146998	0.6884040	0.1062284	0.3650856	0.0450024	0.3191791	0.5038526
