G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.4148838	0.1683736	0.4673992	0.4761896	0.6939637	0.1008312	0.3514719	0.3686768	0.7488691	1.0348786
1.0067280	0.1096935	1.0498423	0.1164773	0.4548565	0.4503785	0.5883318	0.6417556	0.8084708	1.0222864
0.8285158	0.2570191	0.1906638	0.7939354	0.8454833	0.0306895	0.3599085	0.1048545	0.7901097	1.0199165
0.9339317	0.1701647	0.8942859	0.1388277	0.4955685	0.4181455	0.6835518	0.5084510	0.8515779	0.9990124
0.8773384	0.2030947	0.9939220	0.0189709	0.2570547	0.5170550	0.6900623	0.5916953	0.7902066	1.0257262
0.8020353	0.1664029	0.5685876	0.3914381	0.5369877	0.2175153	0.6152000	0.4771913	0.8194428	1.0227830
0.8370589	0.1773184	0.3594083	0.9179875	0.9729403	0.0096878	0.2276383	0.3024626	0.8067317	0.9954610
0.9349252	0.1985491	0.4348656	0.6789228	0.6836210	0.1199619	0.4357599	0.1559456	0.8168718	0.9794961
0.9328392	0.2114484	0.3908099	0.5457970	0.6117539	0.1070583	0.3670151	0.1453040	0.3916049	1.0796170
0.8752955	0.2250247	0.4084766	0.7858319	0.7131817	0.0697612	0.3650442	0.0547369	0.3722958	0.5464828
