G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.4331652	0.1725860	0.4148317	0.6148010	0.6715500	0.0977246	0.4213281	0.3244355	0.8144635	1.0000000
0.9528921	0.0787362	0.8512812	0.1705895	0.4386620	0.4403133	0.6559525	0.5755965	0.8144635	1.0000000
0.7826397	0.2629396	0.1825219	0.7238228	0.7384082	0.0475976	0.3574854	0.0708087	0.8144635	1.0000000
0.8813180	0.1566065	0.9502617	0.0897658	0.4446153	0.4309130	0.6504481	0.5945023	0.8144635	1.0000000
0.8816143	0.1562984	0.9955437	0.0248153	0.2212055	0.4345179	0.6525696	0.6011592	0.8144635	1.0000000
0.8752386	0.1629845	0.5743674	0.3915598	0.5570958	0.1737012	0.6017261	0.4628447	0.8144635	1.0000000
0.8516721	0.1876522	0.3206522	0.8698269	0.8880228	0.0068030	0.2297027	0.2109885	0.8144635	1.0000000
0.8659041	0.1727957	0.4159780	0.6077203	0.6650088	0.1041027	0.4305419	0.1615810	0.8144635	1.0000000
0.8627046	0.1760952	0.3876520	0.6664347	0.6991666	0.0728898	0.3954124	0.1064047	0.4072318	1.0000000
0.8613916	0.1774840	0.3771475	0.6915624	0.7153917	0.0612077	0.3794510	0.0777876	0.3483310	0.5000000
