G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.8484578	0.1807499	1.0067668	0.0154938	0.2060295	0.4459686	0.5755902	0.5743010	0.6248134	0.8860878
0.9010213	0.1793578	0.3668654	0.4646418	0.5527411	0.1781917	0.4388902	0.2802274	0.5144003	0.7091006
0.9419925	0.2194600	0.3991732	0.5757939	0.4686482	0.6228481	0.6557860	0.4375403	0.8141011	0.9267730
1.0222501	0.0615048	0.3346947	0.7361717	0.7327922	0.0898567	0.3784012	0.0918735	0.4961398	0.7631823
0.5398890	0.1799109	0.3602424	0.7373528	0.6931290	0.0371167	0.3199473	0.1614749	0.5158425	0.5762981
1.0391052	0.0208708	0.5442467	0.2052152	0.4611720	0.2833575	0.3809071	0.0103206	0.1627618	0.4459286
0.6714357	0.1440583	0.5317071	0.4809846	0.4491710	0.4052344	0.6496780	0.5741275	0.7728426	1.0156046
1.0590167	0.0303062	0.4100396	0.6883404	0.6708765	0.2272913	0.4498119	0.1226868	0.5423441	0.6995702
0.9802833	0.0096645	0.3674116	0.7270171	0.5781056	0.2896506	0.5593239	0.2526538	0.7569984	0.9349589
0.2444233	0.8399840	0.0129308	0.9638285	0.9325808	0.0024680	0.1810027	0.0077367	0.5775991	0.9889176
