G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.1899199	0.3112515	0.9102025	0.9641178	0.0011249	0.1469612	0.1997705	0.8144635	1.0000000
1.0000000	0.0000000	0.8688627	0.1576008	0.4297011	0.4544909	0.6642522	0.5794570	0.8144635	1.0000000
0.4342289	0.9999999	0.0000000	0.8729508	0.8927448	0.0062704	0.2255506	0.0222393	0.8144635	1.0000000
0.8816426	0.1562700	0.9999999	0.0000000	0.4422068	0.4348866	0.6527691	0.6017624	0.8144635	1.0000000
0.8816246	0.1562872	0.9972655	0.0192892	0.0000000	0.4346032	0.6526476	0.6013935	0.8144635	1.0000000
0.8735066	0.1648043	0.5306590	0.4385353	0.5793181	0.0000000	0.5876007	0.4312569	0.8144635	1.0000000
0.8488244	0.1907196	0.3081430	0.9243120	1.0000000	0.0002611	0.0000000	0.1960308	0.8144635	1.0000000
0.8592472	0.1797297	0.3620663	0.7310648	0.7431596	0.0450806	0.3534567	0.0000000	0.8144635	1.0000000
0.8595043	0.1794530	0.3638729	0.7260075	0.7393807	0.0470166	0.3569213	0.0222393	0.0000000	1.0000000
0.8595390	0.1794300	0.3639525	0.7259137	0.7393444	0.0470381	0.3569359	0.0222393	0.1341253	0.0000000
