G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.8816341	0.1562725	0.9999015	0.0032912	0.1998468	0.5624879	0.6504867	0.5522038	0.7780544	0.8510394
0.8657452	0.1729167	0.4153436	0.6082204	0.6322096	0.1427711	0.4665300	0.2446623	0.4720463	0.7251739
0.8702673	0.1682429	0.4699559	0.5170723	0.4030304	0.5477171	0.5924166	0.4841213	0.7276249	0.8999282
0.9823326	0.0399018	0.2869441	0.7246683	0.7160880	0.0604913	0.3788150	0.0595041	0.4548212	0.7086959
0.5389140	0.1791325	0.3655121	0.7223110	0.7517506	0.0407418	0.3454164	0.1774720	0.5157010	0.5472018
0.9970974	0.0118149	0.5007276	0.1771704	0.4555457	0.2709756	0.3668640	0.0137941	0.1768053	0.4656459
0.6605880	0.1681361	0.4720449	0.5138853	0.4414887	0.4352841	0.6527452	0.5719947	0.8550887	1.0000000
0.9921114	0.0231051	0.3530058	0.7573265	0.6563960	0.2149544	0.4122143	0.1195758	0.5218199	0.7078424
0.9941902	0.0188054	0.3666903	0.7186954	0.6045183	0.1814171	0.4965076	0.2538829	0.8481771	0.8953074
0.2459059	0.8851713	0.0167551	0.8974512	0.9800890	0.0003307	0.1189802	0.0000445	0.7225682	1.0000000
