"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.8759336	0.1128062	0.8539769	0.2471351	0.4992254	0.4003193	0.6310056	0.5649906	0.7927978	0.9586195
50	0.8500885	0.1086821	0.5552187	0.2640723	0.3630749	0.4690606	0.7127562	0.5208237	0.6964225	0.9862460
100	0.9331555	0.0590380	0.5207838	0.1491764	0.3876889	0.5419657	0.5549240	0.4519886	0.8158573	1.0239432
150	0.9848561	0.0283771	0.5316371	0.1093238	0.4222676	0.4948888	0.5892025	0.4883256	0.7541736	1.0232554
200	0.8737059	0.0121224	0.6578099	0.1193622	0.4351234	0.4088499	0.6181317	0.4375289	0.8401440	1.0679894
250	0.9212034	0.0070914	0.6254164	0.1365256	0.4117833	0.4159329	0.5728138	0.4099101	0.7605181	1.0508011
300	0.9266127	0.0053447	0.5395686	0.1653388	0.5655091	0.4436321	0.6129469	0.4007654	0.7896718	0.9213303
350	0.9076885	0.0007082	0.5553811	0.2359932	0.5145351	0.4216233	0.5660577	0.4733278	0.8260971	0.9874065
400	0.9737249	0.0037791	0.4749097	0.2854687	0.5154834	0.3245893	0.5788860	0.4470910	0.8528671	0.9974255
450	0.8561168	0.0090452	0.4480226	0.2997362	0.5664071	0.3642363	0.5561464	0.3993145	0.7795792	0.9646182
500	0.9801946	0.0046157	0.3702000	0.3205919	0.5768699	0.3605416	0.6434621	0.3557429	0.7539128	0.9194224
550	0.9592451	0.0241819	0.4785025	0.3850921	0.5499470	0.3655012	0.6309459	0.3266961	0.7984745	0.9979887
600	1.0094331	0.1132226	0.4862698	0.3313373	0.4271677	0.3909364	0.6057913	0.4191709	0.7671480	0.9664941
650	0.9208828	0.1309974	0.5382969	0.2549259	0.5640955	0.4030981	0.5947965	0.4250692	0.7595295	0.9958980
700	0.9692221	0.1312008	0.5528697	0.2954353	0.5251250	0.4056122	0.5913761	0.3753364	0.7219418	0.9774322
750	0.8740260	0.1428568	0.6501583	0.2760311	0.4779305	0.3549668	0.6219127	0.4505373	0.7652944	0.9646000
800	0.9758971	0.1775866	0.6559387	0.2822292	0.4475791	0.3679819	0.5882973	0.4934849	0.7446944	0.9577594
850	0.8930568	0.1229343	0.6855092	0.2382622	0.4719454	0.3755966	0.5772231	0.4196188	0.7867468	0.9513972
900	1.0298493	0.1156513	0.7193614	0.2464963	0.5056880	0.3237311	0.6175045	0.4903193	0.8255239	0.9853543
950	0.9606620	0.1325028	0.7644444	0.2522796	0.5264302	0.3624192	0.6514931	0.4564068	0.7911646	0.9795941
1000	0.8819680	0.1228228	0.6123132	0.2767851	0.5069843	0.3917422	0.5931007	0.5196710	0.7818543	0.9080483

0	0.8759336	0.1128062	0.8539769	0.2471351	0.4992254	0.4003193	0.6310056	0.5649906	0.7927978	0.9586195
50	1.0194343	0.1205185	0.7080920	0.1386716	0.4123740	0.3891819	0.6872352	0.6603139	0.8166772	0.9781409
100	0.9716102	0.1184251	0.5293282	0.1495633	0.4490690	0.4585808	0.7617702	0.6984949	0.8630044	1.0395695
150	0.9218166	0.1222922	0.5027110	0.1320933	0.4201498	0.5324589	0.8072711	0.7260078	0.9215147	0.9866338
200	0.8764681	0.1783677	0.4963667	0.1486440	0.3932337	0.7151041	0.8792884	0.7143743	0.7969975	0.8565278
250	0.7893990	0.1604628	0.4882478	0.1584150	0.2963706	0.6249189	0.8407376	0.7590114	0.8140600	0.8855885
300	0.8551638	0.1708106	0.5352171	0.1411433	0.3071788	0.7024708	0.9107332	0.7219957	0.7352415	0.9680038
350	0.9198502	0.1652136	0.4919621	0.0816142	0.2618609	0.6929128	0.8197245	0.7786515	0.7432464	0.9981814
400	0.9205438	0.1438884	0.5386164	0.0848034	0.2101164	0.6876132	0.8425906	0.7571556	0.8217633	1.0626828
450	0.9639282	0.1303245	0.5982395	0.0520156	0.2532424	0.7891387	0.9044861	0.6865618	0.8312603	0.9995371
500	0.7760607	0.1426970	0.5560562	0.0438467	0.2951393	0.7598632	0.8837085	0.6992329	0.7800281	0.9970163
550	0.8621899	0.1735718	0.7910779	0.0517425	0.2831683	0.7930905	0.8581276	0.6655756	0.8405741	1.0242085
600	0.8901046	0.2259402	0.9234194	0.0562319	0.2744693	0.7249288	0.8138857	0.6506244	0.7416458	1.0079771
650	0.9189717	0.1826389	0.9919501	0.0473742	0.3061632	0.7103402	0.7103692	0.5625357	0.7714861	1.0194531
700	0.8148403	0.1544754	0.9925420	0.0293111	0.3298305	0.5576425	0.7208126	0.5429457	0.7762194	1.0204656
750	0.7672852	0.1465718	1.0151086	0.0388835	0.3460469	0.5169124	0.6827719	0.5138807	0.7590642	1.0348149
800	0.8755968	0.1663381	0.9494159	0.0494002	0.3423914	0.4665504	0.5768163	0.5668955	0.8103855	1.0729056
850	0.8664009	0.1566186	0.9685322	0.0775780	0.4086360	0.4148390	0.5590693	0.6288164	0.8283216	1.0410197
900	0.9680547	0.1571737	0.8627561	0.0897058	0.4552688	0.3449127	0.5705440	0.5783879	0.8339378	1.0238743
950	0.9739205	0.1378475	0.8438453	0.1578056	0.5629585	0.2853401	0.5684590	0.5906492	0.7976959	1.0245349
1000	0.8992878	0.1379518	0.8940385	0.2960840	0.6052790	0.3358394	0.6504424	0.6166308	0.8241673	1.0351372

0	0.8759336	0.1128062	0.8539769	0.2471351	0.4992254	0.4003193	0.6310056	0.5649906	0.7927978	0.9586195
50	0.8148468	0.1463274	0.7504391	0.2476401	0.4144861	0.4773086	0.5504733	0.6012827	0.7728744	0.9194172
100	0.7241568	0.1521023	0.7482465	0.1930788	0.4283708	0.4844303	0.6041871	0.6152686	0.7111798	0.9492036
150	0.7266321	0.1578730	0.7803979	0.1958066	0.3773715	0.5940419	0.6386176	0.6640147	0.6782570	1.0047847
200	0.6802633	0.1174842	0.8198149	0.1307846	0.3625348	0.5673466	0.6454365	0.5720852	0.7945622	1.0732393
250	0.7273870	0.1678024	0.9045372	0.1137153	0.3487558	0.5777793	0.5713694	0.7307983	0.8566418	1.0423943
300	0.7211505	0.1816565	0.9062375	0.1279779	0.3973935	0.5709735	0.7267251	0.7924877	0.9743729	0.9265785
350	0.7052741	0.2162948	0.9622857	0.1265223	0.3858443	0.6060766	0.7187634	0.8680384	0.8596836	1.0532216
400	0.7022037	0.2238348	1.0009057	0.0947715	0.3566644	0.7636100	0.6005570	0.8642845	0.9033908	1.0749220
450	0.6622486	0.2108661	0.8639820	0.0674441	0.3459920	0.6779799	0.6876510	0.8158209	0.7638881	1.0484225
500	0.5599186	0.1616589	0.8899219	0.0876538	0.3505312	0.6683109	0.6749749	0.7713131	0.7383493	1.0266097
550	0.7001806	0.1521069	0.9239916	0.0834625	0.3134961	0.6289059	0.7077237	0.7075748	0.7764815	1.0051768
600	0.8104144	0.1479041	0.9048072	0.0846983	0.3902344	0.5217746	0.6778570	0.5823706	0.8844324	1.0510743
650	0.8614962	0.1504940	0.9766774	0.1150868	0.3896262	0.4775155	0.6209969	0.5595529	0.7965434	0.9940447
700	0.9197935	0.1525517	1.0048786	0.1411154	0.4776016	0.4763003	0.5693311	0.5755385	0.8454113	0.8854184
750	0.9892397	0.1459020	0.9567179	0.1732775	0.5096929	0.4126366	0.5787149	0.6023186	0.9242493	1.0410101
800	0.9011615	0.1744339	0.8707971	0.2435788	0.4614657	0.3317153	0.6484781	0.6681916	0.9394578	0.9476404
