"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.8796382	0.1582480	0.7936084	0.2076962	0.4608016	0.4070642	0.6378989	0.5588499	0.8144635	1.0000000
50	0.8978509	0.0619583	0.5803543	0.2052148	0.4561220	0.4463526	0.6383002	0.5480921	0.8111469	0.9658159
100	0.9411302	0.0254997	0.5155203	0.1978428	0.4463049	0.4596699	0.6364998	0.5069183	0.8041490	0.9629252
150	0.9734560	0.0120416	0.4998881	0.1859041	0.4389955	0.4622547	0.6295298	0.4590529	0.7991251	0.9626807
200	0.9893167	0.0071774	0.5022053	0.1755338	0.4368356	0.4571297	0.6184955	0.4257715	0.7964977	0.9626601
250	0.9956769	0.0053843	0.5099975	0.1708131	0.4397383	0.4458670	0.6079296	0.4102173	0.7952956	0.9626583
300	0.9980137	0.0046575	0.5167351	0.1727472	0.4462862	0.4321225	0.6011223	0.4064969	0.7947816	0.9626582
350	0.9988645	0.0043211	0.5191143	0.1802839	0.4542073	0.4200150	0.5983214	0.4078363	0.7945701	0.9626582
400	0.9991880	0.0041649	0.5162101	0.1910010	0.4613392	0.4118214	0.5979742	0.4094642	0.7944850	0.9626582
450	0.9993173	0.0041255	0.5088987	0.2020154	0.4665020	0.4075182	0.5983068	0.4088654	0.7944513	0.9626582
500	0.9993665	0.0041773	0.4991788	0.2111316	0.4696444	0.4056988	0.5980883	0.4052940	0.7944380	0.9626582
550	0.9905700	0.1025464	0.7064305	0.2182157	0.4755711	0.3622938	0.5979693	0.4266204	0.7979868	0.9968423
600	0.9568094	0.1381445	0.7637275	0.2290309	0.4859800	0.3488436	0.6057786	0.4791162	0.8050856	0.9997330
650	0.9224729	0.1509764	0.7718477	0.2436682	0.4916948	0.3514335	0.6186091	0.5174072	0.8099915	0.9999774
700	0.9005696	0.1556725	0.7625681	0.2540531	0.4905765	0.3639086	0.6284208	0.5373498	0.8125081	0.9999981
750	0.8891240	0.1574763	0.7501928	0.2552670	0.4848991	0.3787886	0.6335180	0.5451507	0.8136482	0.9999998
800	0.8836794	0.1582445	0.7428938	0.2484423	0.4777303	0.3908199	0.6352943	0.5466211	0.8141330	1.0000000
850	0.8811882	0.1586016	0.7436329	0.2377134	0.4713465	0.3983581	0.6353538	0.5459992	0.8143318	1.0000000
900	0.8800612	0.1587432	0.7512208	0.2270104	0.4668010	0.4020471	0.6348679	0.5458728	0.8144117	1.0000000
