G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.4199257	0.1158126	0.3324814	0.2935610	0.4572541	0.0752900	0.2775832	0.2081883	0.7368955	0.8297133
0.8026844	0.0704243	0.7589105	0.0953203	0.3181330	0.2921456	0.6241521	0.5043004	0.6537525	0.6684252
0.6154654	0.1926134	0.1165239	0.5868927	0.5328876	0.0196931	0.2614345	0.0430686	0.5920321	0.8064678
0.7383842	0.1823880	0.7438466	0.1380731	0.4301812	0.3733117	0.5105951	0.4612644	0.7573255	0.6960267
0.6570042	0.0968910	0.6834707	0.0219683	0.1652961	0.2633658	0.5728009	0.3857263	0.5667242	0.8847420
0.7151506	0.1343886	0.5843550	0.2765053	0.3879098	0.1900928	0.4974891	0.3657799	0.5623832	0.7606372
0.6155235	0.0974778	0.3336508	0.6033969	0.7926071	0.0077088	0.1375842	0.2313009	0.6588814	0.7931501
0.7829072	0.1237705	0.3628349	0.3345947	0.4971341	0.0602904	0.2929154	0.1229810	0.5544147	0.8993437
0.6460455	0.1388055	0.3531645	0.5039723	0.5412035	0.1061084	0.3118165	0.0868781	0.3755391	0.7752413
0.7922212	0.1259498	0.3222257	0.4934093	0.4974357	0.1008741	0.1967581	0.0374459	0.2212460	0.4514694
