"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.6322771	0.0555909	0.6926050	0.1484238	0.3311840	0.2365539	0.4416780	0.3604603	0.6162582	0.7307294
50	0.6476924	0.1216991	0.3924201	0.1784256	0.2889077	0.3700799	0.5416963	0.3895711	0.5864714	0.8023693
100	0.6901429	0.0523637	0.4753114	0.0952583	0.2414528	0.4296942	0.3660456	0.4186400	0.5898113	0.7212632
150	0.8583412	0.0200652	0.4412671	0.0819691	0.3920036	0.3202817	0.4828226	0.4905898	0.6748488	0.6940750
200	0.6455547	0.0061884	0.4618434	0.1128832	0.3556330	0.3668937	0.4308745	0.2932702	0.6970447	0.9282522
250	0.7227146	0.0132907	0.4497366	0.1436699	0.3377670	0.3172029	0.4235953	0.2909264	0.5830121	0.7745761
300	0.7334184	0.0036715	0.3821051	0.1095740	0.4628526	0.3416046	0.5432421	0.3288213	0.6760224	0.8156085
350	0.6693811	0.0018241	0.3600084	0.1520181	0.4161973	0.3115210	0.4188008	0.3765104	0.6118696	0.9072666
400	0.6191080	0.0021095	0.3712674	0.2180617	0.4099511	0.2552026	0.5025464	0.3018898	0.5877592	0.5687391
450	0.6973446	0.0121531	0.3486425	0.2505205	0.5128149	0.2926996	0.4697688	0.3202756	0.6267374	0.6257452
500	0.7438579	0.0081672	0.2963373	0.2591383	0.4444507	0.2164774	0.4804073	0.3230675	0.6265241	0.6083589
550	0.8573904	0.0352049	0.2980153	0.3148402	0.3846040	0.2693864	0.4337604	0.2583743	0.5218115	0.8161010
600	0.6597008	0.0779192	0.3530876	0.2391105	0.3324528	0.3192664	0.4512883	0.2836916	0.5280418	0.7758517
650	0.7710317	0.1207867	0.4204990	0.2631008	0.5236573	0.3445538	0.3980801	0.3170974	0.5252957	0.7489791
700	0.8298646	0.0931438	0.4869466	0.1851320	0.3703332	0.3905528	0.4131969	0.2714104	0.5868801	0.8245714
750	0.8233028	0.1309031	0.4194721	0.2657460	0.3801306	0.3008907	0.4592747	0.3625689	0.5722793	0.7951317
800	0.7275241	0.1473171	0.5932768	0.2603341	0.3843412	0.3201460	0.3997519	0.4313331	0.4683421	0.7785024
850	0.7180975	0.0866949	0.4649079	0.1247009	0.4291015	0.3084321	0.4013880	0.3274077	0.5951095	0.8896440
900	0.8046419	0.1132164	0.6135456	0.2254022	0.3423924	0.2055267	0.5126277	0.3332795	0.6360419	0.7489152
950	0.8411539	0.1207324	0.5667461	0.2649846	0.3330662	0.2269477	0.5817468	0.3948836	0.6230963	0.8143860
1000	0.6209111	0.0864358	0.4517583	0.2488524	0.3776274	0.3726328	0.4236734	0.4533101	0.5729651	0.7713730

0	0.6590435	0.0909603	0.6608484	0.2008764	0.4107590	0.2842298	0.4719836	0.4343560	0.5942867	0.7998065
50	0.7856190	0.0857104	0.5955372	0.1243056	0.2599243	0.3555006	0.4164914	0.4740433	0.5903014	0.6961926
100	0.7094584	0.0941099	0.4115825	0.1277630	0.3851377	0.3717079	0.5588233	0.5068727	0.7122108	0.9098969
150	0.6555509	0.0934189	0.3387119	0.0874889	0.4161654	0.4105007	0.6347742	0.4528302	0.7005238	0.6698406
200	0.6461734	0.1389268	0.3598119	0.0972592	0.2833066	0.6430903	0.6415779	0.5565432	0.6051133	0.7095322
250	0.6192332	0.1099461	0.3982402	0.1828854	0.2805506	0.3731665	0.7694740	0.5164638	0.6961383	0.6055397
300	0.6837541	0.1490249	0.4055588	0.1174154	0.1890342	0.5405787	0.7775269	0.6254210	0.5187680	0.8456934
350	0.7831997	0.1451542	0.4127768	0.0729997	0.1863062	0.5172550	0.6739909	0.7133724	0.5952942	0.7126089
400	0.7596239	0.1505516	0.4083059	0.0808900	0.1549235	0.4819265	0.6784705	0.4800767	0.5654833	0.8573286
450	0.7678322	0.1309276	0.4239330	0.0422138	0.1951207	0.5441257	0.7255412	0.5477524	0.5784587	0.7868812
500	0.5600853	0.1325343	0.4430097	0.0396712	0.2236349	0.5980387	0.6223986	0.4833109	0.5627665	0.8116617
550	0.5769154	0.1052744	0.7455180	0.0490146	0.1997560	0.5156737	0.5599434	0.5162802	0.6736071	0.8075217
600	0.7456771	0.1303412	0.6297931	0.0459345	0.1751737	0.6492161	0.5618044	0.4603992	0.5846303	0.7071770
650	0.6638560	0.1140254	0.6734708	0.0389131	0.2062905	0.5416434	0.5073345	0.4340011	0.5315872	0.7903776
700	0.6649865	0.1064900	0.6484371	0.0191946	0.1863207	0.4538648	0.4817058	0.4751908	0.6216931	0.7932427
750	0.5547107	0.1318431	0.6937006	0.0217698	0.3162820	0.3552394	0.5410054	0.3768222	0.5364867	0.8133175
800	0.5859163	0.1458396	0.6963320	0.0454343	0.2803685	0.4318451	0.3808666	0.4079197	0.6668711	0.7685830
850	0.6946842	0.0937078	0.7147792	0.0639242	0.2641280	0.3030433	0.4374079	0.4374679	0.7175202	0.8291426
900	0.7029180	0.1468721	0.7089655	0.1090183	0.3258747	0.3407384	0.4487304	0.6150793	0.6922611	0.8095022
950	0.7855633	0.1061058	0.7042140	0.1148846	0.3685441	0.2123230	0.3838036	0.4840224	0.6281753	0.7398154
1000	0.6892651	0.1333396	0.7598006	0.2987251	0.4595882	0.2482704	0.5583927	0.4667407	0.5561060	0.8339586

0	0.6943147	0.0677243	0.5962892	0.1675236	0.3956283	0.2902263	0.4997480	0.5872782	0.6569518	0.6756710
50	0.6569357	0.1234030	0.4971659	0.1475838	0.3597620	0.4181764	0.4850666	0.3927072	0.5023056	0.6357141
100	0.5609643	0.0919814	0.5175778	0.1358028	0.3255579	0.3096227	0.4307316	0.4143381	0.5244824	0.8481240
