"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.9229562	0.1377329	0.8462942	0.2660769	0.4970397	0.4218688	0.6289126	0.5511880	0.7807635	0.9624499
50	0.8817373	0.0502253	0.5236880	0.1602423	0.4075015	0.5365284	0.6513868	0.4765245	0.8004940	0.9782790
100	1.0068316	0.0212214	0.4537095	0.0920642	0.4440099	0.4849014	0.5539334	0.4326028	0.8035735	1.0973302
150	0.9464387	0.0040420	0.5451701	0.1443104	0.4460514	0.3948880	0.6276217	0.4513140	0.7988160	0.9447574
200	0.9485781	0.0036092	0.5826130	0.1309421	0.5102463	0.4041893	0.6203688	0.4586519	0.7899805	0.9743709
250	1.0400679	0.0002385	0.5756607	0.1656354	0.4695583	0.4501338	0.6669817	0.4417303	0.7507209	0.9284255
300	1.0056417	0.0014386	0.5460899	0.2645994	0.5409393	0.4951770	0.5183438	0.4834319	0.8563452	0.9443075
350	1.0693648	0.0011140	0.5013833	0.3161168	0.5006464	0.3634006	0.6626303	0.4303124	0.8466148	0.9152352
400	1.0252382	0.0070174	0.4408481	0.2890768	0.4996924	0.4114771	0.5852583	0.4582208	0.7880693	0.9818439
450	0.9834637	0.0062561	0.4250792	0.3546865	0.5474561	0.3698324	0.6072242	0.4143097	0.7399174	0.9635162
500	1.0692392	0.0066729	0.3683499	0.3758934	0.4790156	0.3878362	0.5786107	0.3763386	0.7412399	0.9628156
550	1.0710359	0.0960534	0.5162305	0.3591517	0.4536130	0.4012331	0.6210488	0.3907901	0.8311885	1.0272351
600	0.9618140	0.1423979	0.5499004	0.2446962	0.4624253	0.3235540	0.6059049	0.3955656	0.8602510	1.0874671
650	0.9013027	0.1598017	0.6027575	0.2422062	0.4781007	0.3884156	0.6022766	0.3890085	0.7942642	0.9686482
700	0.8695518	0.1242664	0.6746401	0.2780145	0.5388420	0.3409402	0.5914648	0.4117920	0.7936760	1.0445232
750	0.8750467	0.1324732	0.6936071	0.2728800	0.4544558	0.3788873	0.5676704	0.4294554	0.7787991	1.0326250
800	0.8375650	0.1552831	0.6852656	0.2089040	0.4723624	0.3547975	0.5734748	0.4767002	0.7293658	0.9355953
850	0.8851722	0.1601690	0.7523875	0.1809374	0.5085188	0.3140714	0.6309606	0.4626206	0.7964724	1.0282487
900	0.9390585	0.1538111	0.6869205	0.2380484	0.5476946	0.2985258	0.5818441	0.5012575	0.8415181	0.9843295
950	0.8881454	0.1511371	0.7004699	0.3168337	0.5441187	0.3810925	0.5771617	0.4947353	0.7599789	1.0004236
1000	0.8249246	0.1530515	0.6821039	0.3311625	0.5068210	0.3733088	0.5966663	0.5368301	0.7200016	0.9441464

0	0.9229562	0.1377329	0.8462942	0.2660769	0.4970397	0.4218688	0.6289126	0.5511880	0.7807635	0.9624499
50	0.9948030	0.1409892	0.5785409	0.1199672	0.4746387	0.4252187	0.7733553	0.7012130	0.7955364	1.0836931
100	0.9481455	0.1493284	0.4805071	0.1660115	0.4358231	0.4932411	0.8372952	0.7737853	0.8144541	1.0743432
150	0.9064177	0.1618715	0.4700172	0.1658070	0.3556073	0.5528111	0.8372593	0.6830388	0.7965472	0.9778554
200	0.8588200	0.1835342	0.5198577	0.2035484	0.3316136	0.6323903	0.8588385	0.7096357	0.8074509	0.8841795
250	0.8509781	0.1764153	0.4933914	0.0835396	0.3209497	0.6449956	0.8195536	0.7916100	0.7039842	0.9719244
300	0.8511713	0.1733355	0.4883125	0.0784569	0.3094472	0.7391824	0.8644748	0.7161056	0.6941973	1.1033808
350	0.9534527	0.1692229	0.4602898	0.0529113	0.2505588	0.7696161	0.8504255	0.7225280	0.7865693	1.0555335
400	0.9225905	0.1416267	0.5572127	0.0410390	0.2073099	0.7017233	0.8485567	0.7809208	0.8474898	1.0175205
450	0.8903300	0.1385882	0.5606826	0.0243203	0.2278059	0.7010817	0.8456678	0.7079971	0.8568360	0.9835075
500	0.8695587	0.1510064	0.5547429	0.0524673	0.3244470	0.7325255	0.7723357	0.7373498	0.8632867	0.9256769
550	0.7887975	0.1830393	0.8990630	0.0512630	0.2447208	0.7218335	0.7018172	0.6485166	0.8610377	0.9475730
600	0.8497635	0.1801716	0.9965025	0.0416357	0.2572609	0.6501932	0.6696414	0.5913396	0.7641450	1.0681016
