G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.7029922	0.1411565	0.6769654	0.0012095	0.2046359	0.4431159	0.4572379	0.3475075	0.5693130	0.7363270
0.6538436	0.1635441	0.3203616	0.3464193	0.4890369	0.1482722	0.4343051	0.2435046	0.3836348	0.4891243
0.5623843	0.1455610	0.3128105	0.5371205	0.2936110	0.5050142	0.4806698	0.3082526	0.5596454	0.7650248
0.6741892	0.0183681	0.2340185	0.5651667	0.5091029	0.0515435	0.3554502	0.1030275	0.3894604	0.6204728
0.3670417	0.1458930	0.2425469	0.5242477	0.6331125	0.0168466	0.1694635	0.1198341	0.4050703	0.4864548
0.8994383	0.0213516	0.3899102	0.1438888	0.2826257	0.2438059	0.2961848	0.0025058	0.0927963	0.3546381
0.6943763	0.1447246	0.3793424	0.4146337	0.3686303	0.2467287	0.4157804	0.4199858	0.6390717	0.8936842
0.7161710	0.0116844	0.3554028	0.6145146	0.4545435	0.2762751	0.2924315	0.1295337	0.4646864	0.5849000
0.9120880	0.0050439	0.3424641	0.5827690	0.4906254	0.2112449	0.3946955	0.2209876	0.6981790	0.6229380
0.2524458	0.7321886	0.0085182	0.8225226	0.7607484	0.0003484	0.1602684	0.0144863	0.5252507	0.7699944
