"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.6401027	0.1089811	0.6048182	0.2617689	0.3209120	0.3614206	0.4739035	0.4318108	0.6070260	0.7128214
50	0.7648951	0.0587187	0.4474997	0.1071290	0.3451439	0.4502780	0.5176590	0.4824341	0.6409307	0.7115107
100	0.7521987	0.0094105	0.3493359	0.0563476	0.3523104	0.4191483	0.4452666	0.2817280	0.6570234	0.9203070
150	0.6918096	0.0152702	0.3950897	0.1168975	0.2954619	0.2973794	0.5118620	0.2940289	0.7372770	0.8032399
200	0.7885992	0.0048134	0.4442141	0.1472126	0.3595992	0.3188452	0.4559920	0.3516511	0.7074536	0.7295102
250	0.7754722	0.0005537	0.4410524	0.1522595	0.3804454	0.3387414	0.4945007	0.3315365	0.5618032	0.8047822
300	0.8178556	0.0005147	0.3652016	0.1990511	0.4734271	0.3833749	0.5002854	0.3576423	0.5700588	0.6991582
350	0.9179824	0.0002423	0.3661365	0.2263593	0.4160790	0.2457938	0.5627046	0.4062410	0.6300796	0.7200185
400	0.7724383	0.0051621	0.3836255	0.2373858	0.4570586	0.3323038	0.4425769	0.4333355	0.6921831	0.7030307
450	0.7189174	0.0143438	0.3363892	0.2259562	0.3673933	0.2820463	0.4537804	0.3168137	0.5170486	0.7516777
500	0.8635285	0.0024460	0.2770888	0.3136903	0.3671343	0.3462822	0.4115196	0.2711134	0.4592037	0.8390795
550	0.8133250	0.0540637	0.4103875	0.3087974	0.3037449	0.2784062	0.5097237	0.3357071	0.6156913	0.8695999
600	0.6859270	0.1142200	0.4104057	0.2541598	0.2927469	0.2494816	0.5755268	0.3574687	0.6148192	0.9371006
650	0.7014709	0.1403231	0.5002606	0.1421327	0.3603129	0.2947250	0.3979872	0.3788716	0.6335251	0.8139642
700	0.6983693	0.0848806	0.5237400	0.2227730	0.4042747	0.2194794	0.4442825	0.3098596	0.7894635	0.7533671
750	0.6829274	0.1040214	0.5201503	0.1548990	0.2414652	0.3375378	0.5433437	0.3542480	0.5587175	0.7720270
800	0.7343485	0.1804743	0.5164142	0.1727887	0.3562825	0.2628259	0.3499139	0.4070979	0.5033225	0.6166964
850	0.6993235	0.0926439	0.5891729	0.1360307	0.3424125	0.2607053	0.4451161	0.4543692	0.6089269	0.8007556
900	0.7339885	0.1377495	0.5190355	0.1477925	0.4308434	0.2489228	0.4394898	0.3315601	0.7018238	0.8822820
950	0.7534638	0.1016281	0.5548156	0.2658668	0.4643514	0.3577390	0.4782055	0.3525979	0.6594137	0.9294906
1000	0.5438742	0.1282484	0.5131840	0.2128985	0.3670382	0.2490260	0.5253609	0.4659304	0.5803224	0.7463500

0	0.8516197	0.1086739	0.6459890	0.1660578	0.3541365	0.3393201	0.4653348	0.3467001	0.5513058	0.8609727
50	0.6213888	0.1000196	0.4916307	0.0902303	0.4064885	0.3980926	0.6312439	0.5276868	0.6485550	0.8554124
