"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.8795644	0.1583199	0.7902120	0.2101332	0.4615227	0.4058311	0.6372699	0.5580157	0.8144635	1.0000000
50	0.8848001	0.1167248	0.6880652	0.2078228	0.4592215	0.4257638	0.6378768	0.5550582	0.8134901	0.9804222
100	0.9120313	0.0652857	0.5796535	0.2038838	0.4520144	0.4468624	0.6376781	0.5285327	0.8088617	0.9680466
150	0.9470319	0.0335336	0.5259418	0.1958921	0.4436754	0.4575164	0.6344956	0.4842437	0.8032682	0.9641478
200	0.9729523	0.0174239	0.5078807	0.1857154	0.4386131	0.4591108	0.6270337	0.4440833	0.7991351	0.9630592
250	0.9874330	0.0099771	0.5070943	0.1773396	0.4383521	0.4531760	0.6171459	0.4194292	0.7967162	0.9627653
300	0.9943222	0.0066772	0.5122106	0.1736491	0.4424773	0.4421523	0.6081811	0.4092094	0.7954744	0.9626867
350	0.9973130	0.0052207	0.5167335	0.1755753	0.4493247	0.4296985	0.6022520	0.4075244	0.7948869	0.9626658
400	0.9985528	0.0045680	0.5174795	0.1822862	0.4567382	0.4190995	0.5994428	0.4087525	0.7946236	0.9626602
450	0.9990587	0.0042850	0.5136674	0.1917359	0.4630034	0.4119175	0.5986070	0.4092167	0.7945101	0.9626587
500	0.9992636	0.0041967	0.5062159	0.2015526	0.4673910	0.4079334	0.5983755	0.4071972	0.7944624	0.9626583
550	0.9971168	0.0468244	0.6034315	0.2100705	0.4714993	0.3852787	0.5979568	0.4130362	0.7954962	0.9822360
600	0.9791783	0.0985818	0.7052985	0.2187173	0.4798615	0.3621579	0.6004766	0.4527689	0.8002924	0.9946116
650	0.9485038	0.1299185	0.7517607	0.2304200	0.4878936	0.3530598	0.6089725	0.4966790	0.8058961	0.9985104
700	0.9203538	0.1456654	0.7625499	0.2428181	0.4907057	0.3568743	0.6194088	0.5257091	0.8099461	0.9995989
750	0.9012311	0.1529564	0.7571706	0.2507306	0.4880133	0.3682546	0.6275629	0.5402013	0.8122834	0.9998929
