G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.1702895	0.2752746	0.8994201	0.9372963	0.0011747	0.1325866	0.1428125	0.7772701	0.9835748
1.0805968	0.0000000	0.8140144	0.1987022	0.4321409	0.5985267	0.7088330	0.6650054	0.8401166	1.0493327
0.4653073	0.9318422	0.0000000	0.8587331	0.8919813	0.0104946	0.2359708	0.0278958	0.8288483	0.9881183
0.8785346	0.1467557	0.9685924	0.0000000	0.5181555	0.3239951	0.6418618	0.6494652	0.7476736	1.0125422
0.8883121	0.1634926	1.0093150	0.0200932	0.0000000	0.4156085	0.6823605	0.6154383	0.8330745	0.9670905
0.9200113	0.1920662	0.6373542	0.3682904	0.5508481	0.0000000	0.6152140	0.5606153	0.7999958	0.9879370
0.9380167	0.1684868	0.3249034	0.9952023	1.0196874	0.0017132	0.0000000	0.3289204	0.8012627	1.0320287
0.8533445	0.2306619	0.4023237	0.7325811	0.7287191	0.0980083	0.3637305	0.0000000	0.8945025	0.9462809
0.8278284	0.1908473	0.3527030	0.6545815	0.7409281	0.0500445	0.4104940	0.0392926	0.0000000	0.9840958
0.9106407	0.1753734	0.3678635	0.8287441	0.7277322	0.0710232	0.3840061	0.0382943	0.1422155	0.0000000
