G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.8486232	0.1605360	0.9934577	0.0012726	0.2431412	0.5664449	0.5802430	0.5064448	0.7924946	0.9352226
0.8558243	0.2078421	0.4432093	0.4635205	0.6305078	0.1711749	0.5034787	0.2715179	0.4471904	0.6759581
0.8889774	0.1714257	0.4453966	0.6884815	0.4026379	0.6954911	0.5882318	0.4272251	0.7749242	1.0034240
0.8802959	0.0332521	0.3406366	0.7390658	0.6853928	0.0804535	0.3912132	0.0952430	0.5196184	0.7930932
0.5179735	0.1849082	0.3399927	0.6429564	0.8560394	0.0331271	0.3254764	0.1753440	0.4726744	0.5647771
1.0114365	0.0144336	0.5521909	0.2001034	0.4572339	0.2974171	0.3606499	0.0101613	0.1086382	0.5385715
0.6725153	0.1609125	0.5080282	0.5245964	0.4900350	0.3883882	0.6248348	0.5895694	0.8434879	0.9667857
1.0154099	0.0245980	0.4262789	0.7489161	0.6089825	0.2695832	0.4037799	0.1478013	0.5248726	0.7765031
1.0703923	0.0117600	0.3654321	0.5942936	0.5542090	0.3394383	0.5302361	0.2681143	0.8570679	0.8419118
0.2892664	0.9719709	0.0195405	0.9532408	0.9771011	0.0014678	0.1561527	0.0031195	0.6427774	0.9365928
