G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0766068	0.5202156	0.9368468	0.3611466	0.3447576	0.6278507	0.0540956	0.8831910	0.0303200	0.0776192
0.1763409	0.2416924	1.0258727	0.4327775	0.3439454	0.5265856	0.0319795	0.9215019	0.0570092	0.1163788
0.2121211	0.9408297	0.4389491	0.4590187	0.5355096	0.9701084	0.0257524	0.9703329	0.0877765	0.1933894
0.1776820	0.4818567	0.9635317	0.2472460	0.3217655	0.4809522	0.0539889	0.8931097	0.0605877	0.0670519
0.1282405	0.5349824	0.9446505	0.4026543	0.2072480	0.7662874	0.0370983	0.8784699	0.0605810	0.1200218
0.1339144	0.5057600	1.0064791	0.4012610	0.2911848	0.3187559	0.0265403	0.9976839	0.0373243	0.1023715
0.1887721	0.4906782	0.9426073	0.4105191	0.3049094	0.5603644	0.0060789	0.9772859	0.0278225	0.0536118
0.1142718	0.4628110	1.1000881	0.4223329	0.3541724	0.4882389	0.0511094	0.4730036	0.0309328	0.0769879
0.1816584	0.3763765	0.9466592	0.3994660	0.3044281	0.5248556	0.0284502	0.8124249	0.0193998	0.0805640
0.1304836	0.5251021	1.0345169	0.3443888	0.3606036	0.5927307	0.0283415	0.8396209	0.0505789	0.0530265
