G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0931595	0.3822450	1.1431516	0.3710535	0.2989744	0.4659647	0.5438965	0.9755618	0.0055340	0.0804883
0.1326171	0.7461711	0.6554080	0.3829749	0.4718592	0.7255913	0.0010199	0.9137489	0.0544254	0.0788383
0.0765783	0.7823136	0.6007605	0.4307461	0.4897851	0.7970643	0.0014288	0.9214910	0.0532252	0.1440423
0.1704258	0.2437170	1.0199502	0.4926597	0.3279690	0.3778135	0.5509637	0.5900371	0.0442934	0.0196570
0.1296219	0.4523224	1.0486501	0.3348759	0.2885478	0.5278894	0.0037783	0.8381437	0.0020189	0.0829310
0.1444302	0.3847736	1.0233616	0.4265554	0.2883445	0.5625797	0.0012986	0.6339502	0.0001976	0.0852052
0.2416137	0.5037803	1.0475148	0.2974814	0.2616366	0.6237275	0.3853828	1.1022876	0.0369769	0.0645423
0.1951346	0.7081459	0.5788238	0.4502563	0.7549257	0.8596494	0.0062688	0.6674028	0.0623690	0.0774363
0.1524727	0.7643085	0.5619069	0.2297793	0.5391696	0.7931849	0.0009070	0.7576264	0.0608695	0.1544181
0.1336725	0.5457164	0.9434741	0.4266651	0.2553263	0.3672064	0.3677751	0.7920981	0.0016900	0.0236107
