"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1506724	0.4563373	1.0000000	0.3921156	0.3146532	0.5379598	0.0302349	0.8415482	0.0384375	0.0731737
50	0.1097192	0.4563373	1.0000000	0.1632023	0.3146532	0.1829587	0.0302349	0.8415486	0.0384361	0.0505454
100	0.0971299	0.4563373	1.0000000	0.0992991	0.3146532	0.0643628	0.0302349	0.8415488	0.0384356	0.0409542
150	0.0932599	0.4563373	1.0000000	0.0814599	0.3146532	0.0247433	0.0302349	0.8415489	0.0384354	0.0368888
200	0.0920702	0.4563373	1.0000000	0.0764800	0.3146532	0.0115075	0.0302349	0.8415489	0.0384354	0.0351657
250	0.0917045	0.4563373	1.0000000	0.0750898	0.3146532	0.0070858	0.0302349	0.8415489	0.0384353	0.0344353
300	0.0915921	0.4563373	1.0000000	0.0747017	0.3146532	0.0056087	0.0302349	0.8415489	0.0384353	0.0341257
350	0.0915576	0.4563373	1.0000000	0.0745933	0.3146532	0.0051152	0.0302349	0.8415489	0.0384353	0.0339945
400	0.0915469	0.4563373	1.0000000	0.0745631	0.3146532	0.0049503	0.0302349	0.8415489	0.0384353	0.0339389
450	0.0915437	0.4563373	1.0000000	0.0745546	0.3146532	0.0048953	0.0302349	0.8415489	0.0384353	0.0339153
500	0.0915427	0.4563373	1.0000000	0.0745523	0.3146532	0.0048769	0.0302349	0.8415489	0.0384353	0.0339053
550	0.1324955	0.4563373	1.0000000	0.3034652	0.3146532	0.3598705	0.0302349	0.8415489	0.0384353	0.0565217
600	0.1450847	0.4563373	1.0000000	0.3673683	0.3146532	0.4784639	0.0302349	0.8415489	0.0384353	0.0661080
650	0.1489547	0.4563373	1.0000000	0.3852075	0.3146532	0.5180826	0.0302349	0.8415489	0.0384353	0.0701712
700	0.1501444	0.4563373	1.0000000	0.3901874	0.3146532	0.5313181	0.0302349	0.8415489	0.0384353	0.0718934
750	0.1505101	0.4563373	1.0000000	0.3915776	0.3146532	0.5357397	0.0302349	0.8415489	0.0384353	0.0726234
800	0.1506225	0.4563373	1.0000000	0.3919657	0.3146532	0.5372169	0.0302349	0.8415489	0.0384353	0.0729329
850	0.1506570	0.4563373	1.0000000	0.3920741	0.3146532	0.5377103	0.0302349	0.8415489	0.0384353	0.0730640
900	0.1506677	0.4563373	1.0000000	0.3921043	0.3146532	0.5378752	0.0302349	0.8415489	0.0384353	0.0731196
950	0.1506709	0.4563373	1.0000000	0.3921127	0.3146532	0.5379303	0.0302349	0.8415489	0.0384353	0.0731432
1000	0.1506719	0.4563373	1.0000000	0.3921151	0.3146532	0.5379487	0.0302349	0.8415489	0.0384353	0.0731531

0	0.1506724	0.4563373	1.0000000	0.3921156	0.3146532	0.5379598	0.0302349	0.8415482	0.0384375	0.0731737
50	0.0487528	0.0902556	1.0000000	0.4168275	0.4750595	0.5234597	0.5735772	0.8409497	0.0384361	0.0731661
100	0.0201573	0.0445754	1.0000000	0.4644766	0.4917288	0.5070458	0.7239769	0.8349040	0.0384356	0.0731629
150	0.0155626	0.0388754	1.0000000	0.4901672	0.4559450	0.5006920	0.7656083	0.8086320	0.0384354	0.0731615
200	0.0174412	0.0381641	1.0000000	0.4997562	0.4145901	0.4985214	0.7771320	0.7596953	0.0384354	0.0731609
250	0.0195303	0.0380754	1.0000000	0.5029605	0.3918587	0.4977910	0.7803219	0.7149869	0.0384353	0.0731607
