"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1506725	0.4563374	1.0000000	0.3921139	0.3146532	0.5379623	0.0302349	0.8415468	0.0384521	0.0732081
50	0.1266497	0.4563373	1.0000000	0.2699534	0.3146532	0.3175431	0.0302349	0.8415481	0.0384417	0.0627543
100	0.1055146	0.4563373	1.0000000	0.1556108	0.3146532	0.1295881	0.0302349	0.8415486	0.0384377	0.0498627
150	0.0964348	0.4563373	1.0000000	0.1037638	0.3146532	0.0495844	0.0302349	0.8415488	0.0384362	0.0418080
200	0.0931584	0.4563373	1.0000000	0.0843414	0.3146532	0.0202657	0.0302349	0.8415489	0.0384357	0.0376007
250	0.0920601	0.4563373	1.0000000	0.0776904	0.3146532	0.0100809	0.0302349	0.8415489	0.0384355	0.0355746
300	0.0917054	0.4563373	1.0000000	0.0755285	0.3146532	0.0066196	0.0302349	0.8415489	0.0384354	0.0346414
350	0.0915931	0.4563373	1.0000000	0.0748492	0.3146532	0.0054545	0.0302349	0.8415489	0.0384353	0.0342231
400	0.0915580	0.4563373	1.0000000	0.0746407	0.3146532	0.0050639	0.0302349	0.8415489	0.0384353	0.0340389
450	0.0915471	0.4563373	1.0000000	0.0745779	0.3146532	0.0049332	0.0302349	0.8415489	0.0384353	0.0339586
500	0.0915437	0.4563373	1.0000000	0.0745591	0.3146532	0.0048895	0.0302349	0.8415489	0.0384353	0.0339240
550	0.1155654	0.4563373	1.0000000	0.1967155	0.3146532	0.2252912	0.0302349	0.8415489	0.0384353	0.0443354
600	0.1367001	0.4563373	1.0000000	0.3110570	0.3146532	0.4132404	0.0302349	0.8415489	0.0384353	0.0572090
650	0.1457799	0.4563373	1.0000000	0.3629037	0.3146532	0.4932421	0.0302349	0.8415489	0.0384353	0.0652561
700	0.1490562	0.4563373	1.0000000	0.3823261	0.3146532	0.5225602	0.0302349	0.8415489	0.0384353	0.0694601
750	0.1501545	0.4563373	1.0000000	0.3889770	0.3146532	0.5327448	0.0302349	0.8415489	0.0384353	0.0714849
800	0.1505092	0.4563373	1.0000000	0.3911389	0.3146532	0.5362059	0.0302349	0.8415489	0.0384353	0.0724174
850	0.1506215	0.4563373	1.0000000	0.3918182	0.3146532	0.5373710	0.0302349	0.8415489	0.0384353	0.0728355
900	0.1506566	0.4563373	1.0000000	0.3920267	0.3146532	0.5377616	0.0302349	0.8415489	0.0384353	0.0730197
950	0.1506675	0.4563373	1.0000000	0.3920895	0.3146532	0.5378923	0.0302349	0.8415489	0.0384353	0.0730999
1000	0.1506709	0.4563373	1.0000000	0.3921082	0.3146532	0.5379360	0.0302349	0.8415489	0.0384353	0.0731345

0	0.1506725	0.4563374	1.0000000	0.3921139	0.3146532	0.5379623	0.0302349	0.8415468	0.0384521	0.0732081
50	0.0907306	0.2594026	1.0000000	0.4001030	0.4195494	0.5316360	0.2888217	0.8413710	0.0384417	0.0731807
100	0.0394769	0.1140293	1.0000000	0.4354731	0.4808405	0.5147834	0.5557016	0.8387621	0.0384377	0.0731691
150	0.0206505	0.0613611	1.0000000	0.4704574	0.4722467	0.5042798	0.6909277	0.8245298	0.0384362	0.0731641
200	0.0173685	0.0449199	1.0000000	0.4902831	0.4344992	0.4998857	0.7476324	0.7883557	0.0384357	0.0731620
250	0.0185591	0.0400474	1.0000000	0.4990876	0.4038055	0.4982735	0.7693830	0.7425363	0.0384355	0.0731611
300	0.0199981	0.0386331	1.0000000	0.5025412	0.3879995	0.4977115	0.7773057	0.7062836	0.0384354	0.0731608
350	0.0208512	0.0382261	1.0000000	0.5038019	0.3815112	0.4975199	0.7800963	0.6845591	0.0384353	0.0731606
400	0.0212524	0.0381095	1.0000000	0.5042414	0.3791665	0.4974551	0.7810564	0.6735097	0.0384353	0.0731605
450	0.0214196	0.0380761	1.0000000	0.5043897	0.3783823	0.4974334	0.7813811	0.6684308	0.0384353	0.0731605
500	0.0214845	0.0380666	1.0000000	0.5044386	0.3781327	0.4974261	0.7814896	0.6662444	0.0384353	0.0731605
550	0.1218769	0.2349986	1.0000000	0.5005098	0.3014703	0.4976400	0.5229386	0.7079755	0.0384353	0.0731605
600	0.1592282	0.3803711	1.0000000	0.4735988	0.3004077	0.5023957	0.2560705	0.7756959	0.0384353	0.0731605
650	0.1596677	0.4330390	1.0000000	0.4386623	0.3089576	0.5139450	0.1208482	0.8136854	0.0384353	0.0731605
700	0.1554607	0.4494802	1.0000000	0.4143486	0.3128091	0.5250300	0.0641448	0.8305139	0.0384353	0.0731605
750	0.1527586	0.4543526	1.0000000	0.4015881	0.3141012	0.5319566	0.0423945	0.8373213	0.0384353	0.0731605
800	0.1514962	0.4557669	1.0000000	0.3958516	0.3144933	0.5354233	0.0344719	0.8399583	0.0384353	0.0731605
850	0.1509791	0.4561739	1.0000000	0.3935104	0.3146075	0.5369517	0.0316814	0.8409566	0.0384353	0.0731605
900	0.1507822	0.4562905	1.0000000	0.3926156	0.3146402	0.5375749	0.0307213	0.8413297	0.0384353	0.0731605
950	0.1507106	0.4563239	1.0000000	0.3922895	0.3146495	0.5378163	0.0303966	0.8414681	0.0384353	0.0731605
1000	0.1506854	0.4563335	1.0000000	0.3921748	0.3146521	0.5379067	0.0302882	0.8415192	0.0384353	0.0731605

0	0.1506725	0.4563374	1.0000000	0.3921139	0.3146532	0.5379623	0.0302349	0.8415468	0.0384521	0.0732081
50	0.1506724	0.4563373	1.0000000	0.3921153	0.4567272	0.3609930	0.0302349	0.8449339	0.0276146	0.0567645
100	0.1506724	0.4563373	1.0000000	0.3921158	0.5508592	0.2100887	0.0302349	0.8483127	0.0147504	0.0364735
150	0.1506724	0.4563373	1.0000000	0.3921159	0.5798146	0.1458559	0.0302349	0.8499957	0.0071110	0.0237943
200	0.1506724	0.4563373	1.0000000	0.3921160	0.5871819	0.1223166	0.0302349	0.8507048	0.0033486	0.0171712
250	0.1506724	0.4563373	1.0000000	0.3921160	0.5889037	0.1141395	0.0302349	0.8509837	0.0016527	0.0139816
300	0.1506724	0.4563373	1.0000000	0.3921160	0.5892878	0.1113605	0.0302349	0.8510898	0.0009266	0.0125125
350	0.1506724	0.4563373	1.0000000	0.3921160	0.5893711	0.1104251	0.0302349	0.8511294	0.0006260	0.0118540
400	0.1506724	0.4563373	1.0000000	0.3921160	0.5893888	0.1101115	0.0302349	0.8511441	0.0005045	0.0115639
450	0.1506724	0.4563373	1.0000000	0.3921160	0.5893925	0.1100066	0.0302349	0.8511496	0.0004562	0.0114376
500	0.1506724	0.4563373	1.0000000	0.3921160	0.5893933	0.1099715	0.0302349	0.8511515	0.0004372	0.0113830
550	0.1506724	0.4563373	1.0000000	0.3921160	0.4473195	0.2869261	0.0302349	0.8477665	0.0112570	0.0277758
600	0.1506724	0.4563373	1.0000000	0.3921160	0.3531875	0.4378255	0.0302349	0.8443885	0.0241144	0.0480451
650	0.1506724	0.4563373	1.0000000	0.3921160	0.3242321	0.5020567	0.0302349	0.8427057	0.0317512	0.0607151
700	0.1506724	0.4563373	1.0000000	0.3921160	0.3168647	0.5255955	0.0302349	0.8419968	0.0355126	0.0673343
750	0.1506724	0.4563373	1.0000000	0.3921160	0.3151429	0.5337724	0.0302349	0.8417179	0.0372082	0.0705222
800	0.1506724	0.4563373	1.0000000	0.3921160	0.3147589	0.5365513	0.0302349	0.8416118	0.0379341	0.0719906
850	0.1506724	0.4563373	1.0000000	0.3921160	0.3146756	0.5374867	0.0302349	0.8415721	0.0382346	0.0726488
900	0.1506724	0.4563373	1.0000000	0.3921160	0.3146579	0.5378003	0.0302349	0.8415575	0.0383561	0.0729388
950	0.1506724	0.4563373	1.0000000	0.3921160	0.3146541	0.5379052	0.0302349	0.8415520	0.0384044	0.0730650
1000	0.1506724	0.4563373	1.0000000	0.3921160	0.3146534	0.5379403	0.0302349	0.8415501	0.0384234	0.0731196

0	0.1506725	0.4563374	1.0000000	0.3921139	0.3146532	0.5379623	0.0302349	0.8415468	0.0384521	0.0732081
50	0.1506724	0.4563373	1.0000000	0.2818676	0.3146532	0.3975152	0.0302349	0.8415481	0.0384417	0.0731807
100	0.1506724	0.4563373	1.0000000	0.1786765	0.3146532	0.2777543	0.0302349	0.8415486	0.0384377	0.0731691
150	0.1506724	0.4563373	1.0000000	0.1318860	0.3146532	0.2267777	0.0302349	0.8415488	0.0384362	0.0731641
200	0.1506724	0.4563373	1.0000000	0.1143578	0.3146532	0.2080964	0.0302349	0.8415489	0.0384357	0.0731620
250	0.1506724	0.4563373	1.0000000	0.1083555	0.3146532	0.2016068	0.0302349	0.8415489	0.0384355	0.0731611
300	0.1506724	0.4563373	1.0000000	0.1064045	0.3146532	0.1994014	0.0302349	0.8415489	0.0384354	0.0731608
350	0.1506724	0.4563373	1.0000000	0.1057914	0.3146532	0.1986590	0.0302349	0.8415489	0.0384353	0.0731606
400	0.1506724	0.4563373	1.0000000	0.1056033	0.3146532	0.1984101	0.0302349	0.8415489	0.0384353	0.0731605
450	0.1506724	0.4563373	1.0000000	0.1055465	0.3146532	0.1983269	0.0302349	0.8415489	0.0384353	0.0731605
500	0.1506724	0.4563373	1.0000000	0.1055296	0.3146532	0.1982990	0.0302349	0.8415489	0.0384353	0.0731605
550	0.1506724	0.4563373	1.0000000	0.2157724	0.3146532	0.3387339	0.0302349	0.8415489	0.0384353	0.0731605
600	0.1506724	0.4563373	1.0000000	0.3189625	0.3146532	0.4584908	0.0302349	0.8415489	0.0384353	0.0731605
650	0.1506724	0.4563373	1.0000000	0.3657527	0.3146532	0.5094660	0.0302349	0.8415489	0.0384353	0.0731605
700	0.1506724	0.4563373	1.0000000	0.3832808	0.3146532	0.5281468	0.0302349	0.8415489	0.0384353	0.0731605
750	0.1506724	0.4563373	1.0000000	0.3892831	0.3146532	0.5346362	0.0302349	0.8415489	0.0384353	0.0731605
800	0.1506724	0.4563373	1.0000000	0.3912342	0.3146532	0.5368416	0.0302349	0.8415489	0.0384353	0.0731605
850	0.1506724	0.4563373	1.0000000	0.3918472	0.3146532	0.5375840	0.0302349	0.8415489	0.0384353	0.0731605
900	0.1506724	0.4563373	1.0000000	0.3920354	0.3146532	0.5378328	0.0302349	0.8415489	0.0384353	0.0731605
950	0.1506724	0.4563373	1.0000000	0.3920921	0.3146532	0.5379161	0.0302349	0.8415489	0.0384353	0.0731605
1000	0.1506724	0.4563373	1.0000000	0.3921090	0.3146532	0.5379439	0.0302349	0.8415489	0.0384353	0.0731605

0	0.1506725	0.4563374	1.0000000	0.3921139	0.3146532	0.5379623	0.0302349	0.8415468	0.0384521	0.0732081
50	0.1506724	0.4563373	1.0000000	0.3921153	0.3146532	0.5379594	0.1693145	0.8415481	0.0384417	0.0646143
100	0.1506724	0.4563373	1.0000000	0.3921158	0.3146532	0.5379584	0.3128545	0.8415486	0.0384377	0.0540204
150	0.1506724	0.4563373	1.0000000	0.3921159	0.3146532	0.5379581	0.3855852	0.8415488	0.0384362	0.0474017
