G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0939009	0.3695686	1.0000000	0.4194203	0.2971297	0.5171806	0.5298580	0.8854187	0.0011523	0.0731605
0.1353514	0.7438527	0.6753524	0.4004859	0.4921013	0.7147523	0.0000000	0.9207530	0.0445101	0.0649161
0.0849724	0.8575778	0.5632707	0.4121025	0.5902386	0.8833484	0.0000000	0.9437201	0.0533208	0.0844059
0.1670409	0.3009638	1.0000000	0.4419010	0.3804454	0.4211749	0.5054566	0.5691046	0.0384353	0.0374681
0.0973920	0.4563373	1.0000000	0.3921160	0.2994347	0.4863300	0.0000000	0.7692728	0.0009186	0.0731605
0.1551572	0.4003093	1.0000000	0.4095166	0.2981135	0.5234567	0.0000000	0.5976758	0.0012062	0.0731605
0.1508851	0.4578185	0.9982427	0.2711676	0.2998346	0.5392752	0.3781772	0.9696270	0.0384457	0.0732914
0.2329283	0.7805367	0.5606948	0.4281956	0.6568092	0.8665236	0.0000000	0.5708448	0.0536430	0.1049696
0.1701499	0.6614498	0.6044832	0.2388130	0.5306174	0.8160943	0.0000000	0.7174302	0.0490684	0.1294435
0.1270071	0.4443946	1.0000000	0.3957404	0.2991933	0.3351535	0.3376019	0.9991995	0.0011311	0.0332359
