G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0484235	0.3231089	0.8134141	0.2506961	0.2386523	0.3212550	0.4422767	0.7006994	0.0027731	0.0431285
0.1161278	0.6099650	0.4209037	0.1952981	0.4660760	0.5649468	0.0005161	0.5727144	0.0331528	0.0662277
0.0310642	0.4703951	0.4895040	0.2572944	0.3488448	0.5808381	0.0017683	0.6748727	0.0473357	0.0764359
0.1236193	0.2315148	0.8176816	0.4153150	0.2874238	0.3081172	0.4034884	0.4952839	0.0525295	0.0123546
0.1354265	0.3349552	0.6778291	0.2801527	0.2000446	0.4035970	0.0007952	0.6344107	0.0015320	0.0662310
0.1427374	0.2724708	0.6926689	0.2899174	0.2180333	0.3617607	0.0003535	0.5480363	0.0000561	0.0658184
0.1537420	0.3883219	0.6713171	0.1797859	0.1735948	0.3548093	0.3330369	0.8385775	0.0243486	0.0613259
0.1222821	0.5403020	0.4138758	0.2547506	0.5048247	0.6099997	0.0065254	0.4639041	0.0436902	0.0795275
0.1093230	0.5242225	0.3988635	0.1222192	0.4310522	0.5535140	0.0002852	0.6090920	0.0542855	0.1098592
0.0963546	0.4300041	0.6386197	0.3233872	0.1816698	0.3373960	0.3015371	0.5637001	0.0044720	0.0328373
