G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000011	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.8415489	0.0384353	0.0731605
0.6639994	0.0000000	1.0000000	0.5058633	0.0152185	0.4974169	0.0302349	0.1558816	0.0384353	0.0731605
0.2979948	1.0000000	0.0000004	0.6101541	0.9968473	0.9999996	0.8474116	0.9998638	0.9999919	0.9999253
0.1506724	0.4563373	1.0000000	0.0000003	0.3146532	0.5379579	0.0302349	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.0000002	0.5379579	0.0302349	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.0000010	0.0302349	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0000001	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.0000018	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.8415489	0.0000006	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.8415489	0.0384353	0.0000010
